Gouvernement,Acide N-acétylanthranilique,Acide lysergique,Acide phénylacétique,Alpha-phénylacétoacétonitrile,Anhydride acétique,4-anilino-N-phénétyl-piperidine(ANPP),Ephédrine,Ergométrine,Ergotamine,Isosafrole,3.4-Méthylénedioxy-phénylpropane-2-one,Noréphédrine,Permanganate de potassium,N-phénétyl-4-pipréridone(NPP),Phényl 1 Propanone 2,Pipéronal,Pseudoéphédrine,Safrole,Acétone,Acide anthranilique,Acide chlorhydrique,Acide sulfurique,Ether éthylique,Méthyléthylcétone,Pipéridine,Toluéne
Soudan du Sud,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sri Lanka,2,2,2,0,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2
Suède,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Suisse,Y,Y,Y,NULL,NULL,NULL,Y,Y,Y,Y,Y,Y,NULL,NULL,Y,Y,Y,Y,NULL,Y,NULL,NULL,NULL,NULL,Y,NULL
Tadjikistan,Y,Y,P,0,P,0,P,P,P,Y,Y,Y,Y,0,P,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Tchad,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Thailande,4,4,4,NULL,4,NULL,4,4,4,4,4,4,3,NULL,4,4,4,4,4,4,4,4,4,4,4,4
Tunisie,NULL,NULL,NULL,4,NULL,4,NULL,NULL,NULL,NULL,NULL,Y,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Turkménistan,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Turquie,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ukraine,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,4,4,4,4,4,4,4,4,4,4,4,4
Uruguay,NULL,NULL,NULL,4,NULL,4,Y,NULL,Y,NULL,NULL,Y,NULL,4,NULL,NULL,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Vanuatu,0,4,0,NULL,0,NULL,4,1,1,0,0,0,1,NULL,0,0,1,4,0,0,0,0,0,0,1,0
Venezuela,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,Y,Y,NULL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Viet Nam,X,X,X,NULL,X,NULL,Y,Y,Y,X,X,Y,X,NULL,X,X,Y,X,X,X,X,X,X,X,X,X
Yémen,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,Y,Y,NULL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Zimbabwe,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,4,4,4,4,4,4,4,4,4,4,4,4
